diff_median_sample,file,gnss_max,gnss_median,gnss_min,gnss_p01,gnss_p99,lidar_max,lidar_min,name,point_count,pos_cover_rate,pulse_max,pulse_min,reason,seq,size_bytes,status,total_pulses
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00092_20260510190900.h5,40139.36300542,40137.854662096,40136.36058558,40136.386657716,40139.33607910036,40157.36300542,40154.36058558,L1_cap_00092_20260510190900.h5,2082410,1.0,1482239.0,1.0,,92,237525660,OK,1482243.0
1.0,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00093_20260510190903.h5,1481417.0,742237.5,1.0,17029.0,1469551.25,1481435.0,19.0,L1_cap_00093_20260510190903.h5,2053376,0.0007558284503179155,1481417.0,1.0,GNSS_SEC_CH1 appears to contain pulse index/count values,93,229654364,REPAIR_CANDIDATE,1481417.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00094_20260510190906.h5,40145.367411184,40143.876219924,40142.3645493,40142.400526048004,40145.34375250288,40163.367411184,40160.3645493,L1_cap_00094_20260510190906.h5,2116029,1.0,1483328.0,1.0,,94,244043204,OK,1483328.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00095_20260510190909.h5,40148.350661004,40146.79897144,40145.367413184,40145.399069348,40148.316384824,40166.350661004,40163.367413184,L1_cap_00095_20260510190909.h5,2019559,1.0,1407623.0,1.0,,95,233262944,OK,1407623.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00096_20260510190912.h5,40151.29767444,40149.904302854,40148.350663004,40148.387057192,40151.27260905052,40169.29767444,40166.350663004,L1_cap_00096_20260510190912.h5,2150964,1.0,1458156.0,1.0,,96,253556988,OK,1458156.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00097_20260510190915.h5,40154.373678964,40152.860820584,40151.29767644,40151.330822616,40154.34460803201,40172.373678964,40169.29767644,L1_cap_00097_20260510190915.h5,2173240,1.0,1487269.0,1.0,,97,258566512,OK,1487269.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00098_20260510190918.h5,40157.87459552,40156.142115704,40154.373680964,40154.410653656,40157.841580848006,40175.87459552,40172.373680964,L1_cap_00098_20260510190918.h5,2689126,1.0,1735580.0,1.0,,98,325980500,OK,1735580.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00099_20260510190921.h5,40160.877403488,40159.373186864,40157.87459752,40157.90527968,40160.84544016,40178.877403488,40175.87459752,L1_cap_00099_20260510190921.h5,2355059,1.0,1488627.0,1.0,,99,285198780,OK,1488627.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00100_20260510190924.h5,40163.878993468,40162.368816812,40160.877405488,40160.905346155996,40163.852168808,40181.878993468,40178.877405488,L1_cap_00100_20260510190924.h5,2317027,1.0,1487969.0,1.0,,100,282952748,OK,1487969.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00101_20260510190927.h5,40166.881633472,40165.380520848,40163.878995468,40163.910025632,40166.8505349088,40184.881633472,40181.878995468,L1_cap_00101_20260510190927.h5,2300821,1.0,1488557.0,1.0,,101,282370928,OK,1488557.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00102_20260510190930.h5,40169.866773376,40168.356540704,40166.881635472,40166.907477608,40169.82837631428,40187.866773376,40184.881635472,L1_cap_00102_20260510190930.h5,2270044,1.0,1462895.0,1.0,,102,277222412,OK,1462895.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00103_20260510190933.h5,40172.884421484,40171.471742308,40169.866775376,40169.905337576,40172.854773324,40190.884421484,40187.866775376,L1_cap_00103_20260510190933.h5,2175512,1.0,1400105.0,1.0,,103,264262712,OK,1400105.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00104_20260510190936.h5,40175.887159508,40174.387200876,40172.884423484,40172.91455048,40175.85911052168,40193.887159508,40190.884423484,L1_cap_00104_20260510190936.h5,2312243,1.0,1488571.0,1.0,,104,281013796,OK,1488571.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00105_20260510190939.h5,40178.88887554,40177.384185892,40175.887161508,40175.917846132,40178.85797092,40196.88887554,40193.887161508,L1_cap_00105_20260510190939.h5,2311224,1.0,1488039.0,1.0,,105,280468584,OK,1488039.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00106_20260510190942.h5,40181.8909556,40180.38918594,40178.88887754,40178.915865024,40181.860674100004,40199.8909556,40196.88887754,L1_cap_00106_20260510190942.h5,2315368,1.0,1488298.0,1.0,,106,281025952,OK,1488298.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00107_20260510190945.h5,40184.893147664,40183.395048024,40181.8909576,40181.922357764,40184.86246116332,40202.893147664,40199.8909576,L1_cap_00107_20260510190945.h5,2323218,1.0,1488298.0,1.0,,107,281763376,OK,1488298.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00108_20260510190948.h5,40187.89636174,40186.396931088,40184.893149664,40184.924495428,40187.865103576,40205.89636174,40202.893149664,L1_cap_00108_20260510190948.h5,2328281,1.0,1488760.0,1.0,,108,282282112,OK,1488760.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00109_20260510190951.h5,40190.897531832,40189.39514116,40187.89636374,40187.923443584,40190.8690559806,40208.897531832,40205.89636374,L1_cap_00109_20260510190951.h5,2338186,1.0,1487458.0,1.0,,109,282549352,OK,1487458.0
